"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"Collect",,"noun","preferred",,,,"Collecter",,"noun","preferred",,,,"Sammeln",,"noun","preferred",,,,"Coletar",,"noun","preferred",,,,"Recopilar",,"noun","preferred",,,,"Yes"
"Collect All",,"noun","preferred",,,,"Tout collecter",,"noun","preferred",,,,"Alle sammeln",,"noun","preferred",,,,"Coletar todos",,"noun","preferred",,,,"Recopilar todo",,"noun","preferred",,,,"Yes"
"Collect All Backups",,"noun","preferred",,,,"Collecter toutes les sauvegardes",,"noun","preferred",,,,"Alle Backups sammeln",,"noun","preferred",,,,"Coletar todos os backups",,"noun","preferred",,,,"Recopilar todas las copias de seguridad",,"noun","preferred",,,,"Yes"
"Collect Backup Logs",,"noun","preferred",,,,"Collecter les journaux de sauvegarde",,"noun","preferred",,,,"Backup-Protokolle sammeln",,"noun","preferred",,,,"Coletar logs de backup",,"noun","preferred",,,,"Recopilar logs de backup",,"noun","preferred",,,,"Yes"
"Collect backup logs (Right-click for Collect All)",,"noun","preferred",,,,"Collecter les journaux de sauvegarde (Clic droit pour tout collecter)",,"noun","preferred",,,,"Backup-Protokolle sammeln (Rechtsklick für Alle sammeln)",,"noun","preferred",,,,"Coletar logs de backup (Clique direito para coletar todos)",,"noun","preferred",,,,"Recopilar logs de backup (Clic derecho para recopilar todo)",,"noun","preferred",,,,"Yes"
"Collect Backups",,"noun","preferred",,,,"Collecter les sauvegardes",,"noun","preferred",,,,"Backups sammeln",,"noun","preferred",,,,"Coletar backups",,"noun","preferred",,,,"Recopilar backups",,"noun","preferred",,,,"Yes"
"Collect backups from all configured servers",,"noun","preferred",,,,"Collecter les sauvegardes de tous les serveurs configurés",,"noun","preferred",,,,"Backups von allen konfigurierten Servern sammeln",,"noun","preferred",,,,"Coletar backups de todos os servidores configurados",,"noun","preferred",,,,"Recopilar copias de seguridad de todos los servidores configurados",,"noun","preferred",,,,"Yes"
"Collect backups logs",,"noun","preferred",,,,"Collecter les journaux de sauvegarde",,"noun","preferred",,,,"Sicherungsprotokolle sammeln",,"noun","preferred",,,,"Coletar logs de backup",,"noun","preferred",,,,"Recopilar logs de backup",,"noun","preferred",,,,"Yes"
"Collect from  Servers",,"noun","preferred",,,,"Collecter de  serveurs",,"noun","preferred",,,,"Von  Servern sammeln",,"noun","preferred",,,,"Coletar de  servidores",,"noun","preferred",,,,"Recopilar de  servidores",,"noun","preferred",,,,"Yes"
"Collected",,"noun","preferred",,,,"Collecté",,"noun","preferred",,,,"Gesammelt",,"noun","preferred",,,,"Coletado",,"noun","preferred",,,,"Recopilado",,"noun","preferred",,,,"Yes"
"Collection Complete!",,"noun","preferred",,,,"Collecte terminée!",,"noun","preferred",,,,"Sammlung abgeschlossen!",,"noun","preferred",,,,"Coleta completa!",,"noun","preferred",,,,"¡Recopilación completa!",,"noun","preferred",,,,"Yes"
"Collection Error",,"noun","preferred",,,,"Erreur de collecte",,"noun","preferred",,,,"Sammlungsfehler",,"noun","preferred",,,,"Erro de coleta",,"noun","preferred",,,,"Error de recopilación",,"noun","preferred",,,,"Yes"
"Collection Failed",,"noun","preferred",,,,"Collecte échouée",,"noun","preferred",,,,"Sammlung fehlgeschlagen",,"noun","preferred",,,,"Coleta falhou",,"noun","preferred",,,,"Recopilación fallida",,"noun","preferred",,,,"Yes"
"Comma-separated list of recipient email addresses",,"noun","preferred",,,,"Liste séparée par des virgules des adresses e-mail des destinataires",,"noun","preferred",,,,"Kommagetrennte Liste der Empfänger-E-Mail-Adressen",,"noun","preferred",,,,"Lista separada por vírgulas de endereços de e-mail dos destinatários",,"noun","preferred",,,,"Lista separada por comas de direcciones de correo electrónico de destinatarios",,"noun","preferred",,,,"Yes"
"Complete the required fields below to enable notifications.",,"noun","preferred",,,,"Remplissez les champs requis ci-dessous pour activer les notifications.",,"noun","preferred",,,,"Vervollständigen Sie die erforderlichen Felder unten, um Benachrichtigungen zu aktivieren.",,"noun","preferred",,,,"Preencha os campos obrigatórios abaixo para habilitar as notificações.",,"noun","preferred",,,,"Complete los campos requeridos a continuación para habilitar las notificaciones.",,"noun","preferred",,,,"Yes"
"Completed",,"noun","preferred",,,,"Terminé",,"noun","preferred",,,,"Abgeschlossen",,"noun","preferred",,,,"Concluído",,"noun","preferred",,,,"Completado",,"noun","preferred",,,,"Yes"
"Completed successfully",,"noun","preferred",,,,"Terminé avec succès",,"noun","preferred",,,,"Erfolgreich abgeschlossen",,"noun","preferred",,,,"Concluído com sucesso",,"noun","preferred",,,,"Completado exitosamente",,"noun","preferred",,,,"Yes"
"Compression",,"noun","preferred",,,,"Compression",,"noun","preferred",,,,"Kompression",,"noun","preferred",,,,"Compressão",,"noun","preferred",,,,"Compresión",,"noun","preferred",,,,"Yes"
"Configure",,"noun","preferred",,,,"Configurer",,"noun","preferred",,,,"Konfigurieren",,"noun","preferred",,,,"Configurar",,"noun","preferred",,,,"Configurar",,"noun","preferred",,,,"Yes"
"Configure Backup Notifications",,"noun","preferred",,,,"Configurer les notifications de sauvegarde",,"noun","preferred",,,,"Backup-Benachrichtigungen konfigurieren",,"noun","preferred",,,,"Configurar notificações de backup",,"noun","preferred",,,,"Configurar notificaciones de backup",,"noun","preferred",,,,"Yes"
"Configure basic application settings",,"noun","preferred",,,,"Configurer les paramètres de base de l'application",,"noun","preferred",,,,"Grundlegende Anwendungseinstellungen konfigurieren",,"noun","preferred",,,,"Configurar configurações básicas do aplicativo",,"noun","preferred",,,,"Configurar los ajustes básicos de la aplicación",,"noun","preferred",,,,"Yes"
"Configure Device",,"noun","preferred",,,,"Configurer l'appareil",,"noun","preferred",,,,"Gerät konfigurieren",,"noun","preferred",,,,"Configurar dispositivo",,"noun","preferred",,,,"Configurar dispositivo",,"noun","preferred",,,,"Yes"
"Configure email and NTFY notifications",,"noun","preferred",,,,"Configurer les notifications par e-mail et NTFY",,"noun","preferred",,,,"E-Mail- und NTFY-Benachrichtigungen konfigurieren",,"noun","preferred",,,,"Configurar notificações por e-mail e NTFY",,"noun","preferred",,,,"Configurar notificaciones por correo electrónico y NTFY",,"noun","preferred",,,,"Yes"
"Configure how numbers are displayed",,"noun","preferred",,,,"Configurez comment les nombres sont affichés",,"noun","preferred",,,,"Konfigurieren Sie, wie Zahlen angezeigt werden",,"noun","preferred",,,,"Configure como os números são exibidos",,"noun","preferred",,,,"Configure cómo se muestran los números",,"noun","preferred",,,,"Yes"
"Configure how you want to receive notifications",,"noun","preferred",,,,"Configurez comment vous souhaitez recevoir les notifications",,"noun","preferred",,,,"Konfigurieren Sie, wie Sie Benachrichtigungen erhalten möchten",,"noun","preferred",,,,"Configure como você deseja receber notificações",,"noun","preferred",,,,"Configure cómo desea recibir notificaciones",,"noun","preferred",,,,"Yes"
"Configure Monitoring",,"noun","preferred",,,,"Configurer la surveillance",,"noun","preferred",,,,"Überwachung konfigurieren",,"noun","preferred",,,,"Configurar monitoramento",,"noun","preferred",,,,"Configurar monitoreo",,"noun","preferred",,,,"Yes"
"Configure monitoring for overdue backups",,"noun","preferred",,,,"Configurer la surveillance des sauvegardes en retard",,"noun","preferred",,,,"Überwachung für überfällige Sicherungen konfigurieren",,"noun","preferred",,,,"Configurar monitoramento para backups atrasados",,"noun","preferred",,,,"Configurar monitoreo para backups retrasados",,"noun","preferred",,,,"Yes"
"Configure NTFY push notification settings",,"noun","preferred",,,,"Configurer les paramètres de notification push NTFY",,"noun","preferred",,,,"NTFY-Push-Benachrichtigungseinstellungen konfigurieren",,"noun","preferred",,,,"Configurar configurações de notificações push NTFY",,"noun","preferred",,,,"Configurar ajustes de notificaciones push NTFY",,"noun","preferred",,,,"Yes"
"Configure Overdue Monitoring",,"noun","preferred",,,,"Configurer la surveillance des sauvegardes en retard",,"noun","preferred",,,,"Überwachung überfälliger Sicherungen konfigurieren",,"noun","preferred",,,,"Configurar monitoramento de backups atrasados",,"noun","preferred",,,,"Configurar monitoreo de backups retrasados",,"noun","preferred",,,,"Yes"
"Configure server addresses",,"noun","preferred",,,,"Configurer les adresses du serveur",,"noun","preferred",,,,"Serveradressen konfigurieren",,"noun","preferred",,,,"Configurar endereços do servidor",,"noun","preferred",,,,"Configurar direcciones del servidor",,"noun","preferred",,,,"Yes"
"Configure Server Settings",,"noun","preferred",,,,"Configurer les paramètres du serveur",,"noun","preferred",,,,"Server-Einstellungen konfigurieren",,"noun","preferred",,,,"Configurar configurações do servidor",,"noun","preferred",,,,"Configurar ajustes del servidor",,"noun","preferred",,,,"Yes"
"Configure SMTP settings for email notifications",,"noun","preferred",,,,"Configurer les paramètres SMTP pour les notifications par e-mail",,"noun","preferred",,,,"SMTP-Einstellungen für E-Mail-Benachrichtigungen konfigurieren",,"noun","preferred",,,,"Configurar configurações SMTP para notificações por e-mail",,"noun","preferred",,,,"Configurar ajustes SMTP para notificaciones por correo electrónico",,"noun","preferred",,,,"Yes"
"Configure your device",,"noun","preferred",,,,"Configurer votre appareil",,"noun","preferred",,,,"Gerät konfigurieren",,"noun","preferred",,,,"Configurar seu dispositivo",,"noun","preferred",,,,"Configurar su dispositivo",,"noun","preferred",,,,"Yes"
"Configured overdue tolerance (1 hour, 1 day, etc.)",,"noun","preferred",,,,"Tolérance de retard configurée (1 heure, 1 jour, etc.)",,"noun","preferred",,,,"Konfigurierte Überfälligkeitstoleranz (1 Stunde, 1 Tag, etc.)",,"noun","preferred",,,,"Tolerância de atraso configurada (1 hora, 1 dia, etc.)",,"noun","preferred",,,,"Tolerancia de retraso configurada (1 hora, 1 día, etc.)",,"noun","preferred",,,,"Yes"
"Confirm",,"verb","preferred",,,,"Confirmer",,"verb","preferred",,,,"Bestätigen",,"verb","preferred",,,,"Confirmar",,"verb","preferred",,,,"Confirmar",,"verb","preferred",,,,"Yes"
"Confirm New Password",,"noun","preferred",,,,"Confirmer le nouveau mot de passe",,"noun","preferred",,,,"Neues Passwort bestätigen",,"noun","preferred",,,,"Confirmar nova senha",,"noun","preferred",,,,"Confirmar nueva contraseña",,"noun","preferred",,,,"Yes"
"Confirm Password",,"noun","preferred",,,,"Confirmer le mot de passe",,"noun","preferred",,,,"Passwort bestätigen",,"noun","preferred",,,,"Confirmar senha",,"noun","preferred",,,,"Confirmar contraseña",,"noun","preferred",,,,"Yes"
"Confirm your new password",,"noun","preferred",,,,"Confirmez votre nouveau mot de passe",,"noun","preferred",,,,"Bestätigen Sie Ihr neues Passwort",,"noun","preferred",,,,"Confirme sua nova senha",,"noun","preferred",,,,"Confirme su nueva contraseña",,"noun","preferred",,,,"Yes"
"Confirm your password",,"noun","preferred",,,,"Confirmez votre mot de passe",,"noun","preferred",,,,"Bestätigen Sie Ihr Passwort",,"noun","preferred",,,,"Confirme sua senha",,"noun","preferred",,,,"Confirme su contraseña",,"noun","preferred",,,,"Yes"
"Conflict - Resource may have been modified",,"noun","preferred",,,,"Conflit - La ressource a peut-être été modifiée",,"noun","preferred",,,,"Konflikt - Ressource wurde möglicherweise geändert",,"noun","preferred",,,,"Conflito - O recurso pode ter sido modificado",,"noun","preferred",,,,"Conflicto - Es posible que el recurso haya sido modificado",,"noun","preferred",,,,"Yes"
"Conflict with existing data",,"noun","preferred",,,,"Conflit avec les données existantes",,"noun","preferred",,,,"Konflikt mit vorhandenen Daten",,"noun","preferred",,,,"Conflito com dados existentes",,"noun","preferred",,,,"Conflicto con datos existentes",,"noun","preferred",,,,"Yes"
"Connected",,"noun","preferred",,,,"Connecté",,"noun","preferred",,,,"Verbunden",,"noun","preferred",,,,"Conectado",,"noun","preferred",,,,"Conectado",,"noun","preferred",,,,"Yes"
"Connection Attempts",,"noun","preferred",,,,"Tentatives de connexion",,"noun","preferred",,,,"Verbindungsversuche",,"noun","preferred",,,,"Tentativas de Conexão",,"noun","preferred",,,,"Intentos de conexión",,"noun","preferred",,,,"Yes"
"Connection Failed",,"noun","preferred",,,,"Connexion échouée",,"noun","preferred",,,,"Verbindung fehlgeschlagen",,"noun","preferred",,,,"Falha na conexão",,"noun","preferred",,,,"Conexión fallida",,"noun","preferred",,,,"Yes"
"Connection Lost",,"noun","preferred",,,,"Connexion perdue",,"noun","preferred",,,,"Verbindung verloren",,"noun","preferred",,,,"Conexão perdida",,"noun","preferred",,,,"Conexión perdida",,"noun","preferred",,,,"Yes"
"Connection Refused",,"noun","preferred",,,,"Connexion refusée",,"noun","preferred",,,,"Verbindung abgelehnt",,"noun","preferred",,,,"Conexão recusada",,"noun","preferred",,,,"Conexión rechazada",,"noun","preferred",,,,"Yes"
"Connection successful",,"noun","preferred",,,,"Connexion réussie",,"noun","preferred",,,,"Verbindung erfolgreich",,"noun","preferred",,,,"Conexão bem-sucedida",,"noun","preferred",,,,"Conexión exitosa",,"noun","preferred",,,,"Yes"
"Connection test failed",,"noun","preferred",,,,"Test de connexion échoué",,"noun","preferred",,,,"Verbindungstest fehlgeschlagen",,"noun","preferred",,,,"Teste de conexão falhou",,"noun","preferred",,,,"Prueba de conexión fallida",,"noun","preferred",,,,"Yes"
"Connection test successful",,"noun","preferred",,,,"Test de connexion réussi",,"noun","preferred",,,,"Verbindungstest erfolgreich",,"noun","preferred",,,,"Teste de conexão bem-sucedido",,"noun","preferred",,,,"Prueba de conexión exitosa",,"noun","preferred",,,,"Yes"
"Connection Tests Complete",,"noun","preferred",,,,"Tests de connexion terminés",,"noun","preferred",,,,"Verbindungstests abgeschlossen",,"noun","preferred",,,,"Testes de conexão concluídos",,"noun","preferred",,,,"Pruebas de conexión completadas",,"noun","preferred",,,,"Yes"
"Connection Timeout",,"noun","preferred",,,,"Délai de connexion dépassé",,"noun","preferred",,,,"Verbindungs-Timeout",,"noun","preferred",,,,"Tempo de conexão esgotado",,"noun","preferred",,,,"Tiempo de conexión agotado",,"noun","preferred",,,,"Yes"
"Connection Type",,"noun","preferred",,,,"Type de connexion",,"noun","preferred",,,,"Verbindungstyp",,"noun","preferred",,,,"Tipo de conexão",,"noun","preferred",,,,"Tipo de conexión",,"noun","preferred",,,,"Yes"
"Contains at least one lowercase letter (a-z)",,"noun","preferred",,,,"Contient au moins une lettre minuscule (a-z)",,"noun","preferred",,,,"Enthält mindestens einen Kleinbuchstaben (a-z)",,"noun","preferred",,,,"Contém pelo menos uma letra minúscula (a-z)",,"noun","preferred",,,,"Contiene al menos una letra minúscula (a-z)",,"noun","preferred",,,,"Yes"
"Contains at least one number (0-9)",,"noun","preferred",,,,"Contient au moins un chiffre (0-9)",,"noun","preferred",,,,"Enthält mindestens eine Zahl (0-9)",,"noun","preferred",,,,"Contém pelo menos um número (0-9)",,"noun","preferred",,,,"Contiene al menos un número (0-9)",,"noun","preferred",,,,"Yes"
"Contains at least one uppercase letter (A-Z)",,"noun","preferred",,,,"Contient au moins une lettre majuscule (A-Z)",,"noun","preferred",,,,"Enthält mindestens einen Großbuchstaben (A-Z)",,"noun","preferred",,,,"Contém pelo menos uma letra maiúscula (A-Z)",,"noun","preferred",,,,"Contiene al menos una letra mayúscula (A-Z)",,"noun","preferred",,,,"Yes"
"Continue",,"noun","preferred",,,,"Continuer",,"noun","preferred",,,,"Fortfahren",,"noun","preferred",,,,"Continuar",,"noun","preferred",,,,"Continuar",,"noun","preferred",,,,"Yes"
"Copied successfully",,"noun","preferred",,,,"Copié avec succès",,"noun","preferred",,,,"Erfolgreich kopiert",,"noun","preferred",,,,"Copiado com sucesso",,"noun","preferred",,,,"Copiado exitosamente",,"noun","preferred",,,,"Yes"
"Copy",,"noun","preferred",,,,"Copier",,"noun","preferred",,,,"Kopieren",,"noun","preferred",,,,"Copiar",,"noun","preferred",,,,"Copiar",,"noun","preferred",,,,"Yes"
"Copy password",,"noun","preferred",,,,"Copier le mot de passe",,"noun","preferred",,,,"Passwort kopieren",,"noun","preferred",,,,"Copiar senha",,"noun","preferred",,,,"Copiar contraseña",,"noun","preferred",,,,"Yes"
"Create a new account to get started",,"noun","preferred",,,,"Créez un nouveau compte pour commencer",,"noun","preferred",,,,"Erstellen Sie ein neues Konto, um zu beginnen",,"noun","preferred",,,,"Crie uma nova conta para começar",,"noun","preferred",,,,"Cree una nueva cuenta para comenzar",,"noun","preferred",,,,"Yes"
"Create New User",,"noun","preferred",,,,"Créer un nouvel utilisateur",,"noun","preferred",,,,"Neuen Benutzer erstellen",,"noun","preferred",,,,"Criar novo usuário",,"noun","preferred",,,,"Crear nuevo usuario",,"noun","preferred",,,,"Yes"
"Create User",,"noun","preferred",,,,"Créer l'utilisateur",,"noun","preferred",,,,"Benutzer erstellen",,"noun","preferred",,,,"Criar usuário",,"noun","preferred",,,,"Crear usuario",,"noun","preferred",,,,"Yes"
"Created",,"noun","preferred",,,,"Créé",,"noun","preferred",,,,"Erstellt",,"noun","preferred",,,,"Criado",,"noun","preferred",,,,"Creado",,"noun","preferred",,,,"Yes"
"Created successfully",,"noun","preferred",,,,"Créé avec succès",,"noun","preferred",,,,"Erfolgreich erstellt",,"noun","preferred",,,,"Criado com sucesso",,"noun","preferred",,,,"Creado exitosamente",,"noun","preferred",,,,"Yes"
"Critical",,"noun","preferred",,,,"Critique",,"noun","preferred",,,,"Kritisch",,"noun","preferred",,,,"Crítico",,"noun","preferred",,,,"Crítico",,"noun","preferred",,,,"Yes"
"CSV",,"noun","preferred",,,,"CSV",,"noun","preferred",,,,"CSV",,"noun","preferred",,,,"CSV",,"noun","preferred",,,,"CSV",,"noun","preferred",,,,"Yes"
"CSV file downloaded successfully",,"noun","preferred",,,,"Fichier CSV téléchargé avec succès",,"noun","preferred",,,,"CSV-Datei erfolgreich heruntergeladen",,"noun","preferred",,,,"Arquivo CSV baixado com sucesso",,"noun","preferred",,,,"Archivo CSV descargado exitosamente",,"noun","preferred",,,,"Yes"
"CSV Generated At",,"noun","preferred",,,,"CSV généré le",,"noun","preferred",,,,"CSV generiert am",,"noun","preferred",,,,"CSV gerado em",,"noun","preferred",,,,"CSV generado en",,"noun","preferred",,,,"Yes"
"Currency",,"noun","preferred",,,,"Devise",,"noun","preferred",,,,"Währung",,"noun","preferred",,,,"Moeda",,"noun","preferred",,,,"Moneda",,"noun","preferred",,,,"Yes"
"Current",,"noun","preferred",,,,"Actuel",,"noun","preferred",,,,"Aktuell",,"noun","preferred",,,,"Atual",,"noun","preferred",,,,"Actual",,"noun","preferred",,,,"Yes"
"Current Password",,"noun","preferred",,,,"Mot de passe actuel",,"noun","preferred",,,,"Aktuelles Passwort",,"noun","preferred",,,,"Senha atual",,"noun","preferred",,,,"Contraseña actual",,"noun","preferred",,,,"Yes"
"Current password is incorrect",,"noun","preferred",,,,"Le mot de passe actuel est incorrect",,"noun","preferred",,,,"Aktuelles Passwort ist falsch",,"noun","preferred",,,,"A senha atual está incorreta",,"noun","preferred",,,,"La contraseña actual es incorrecta",,"noun","preferred",,,,"Yes"
"Current theme",,"noun","preferred",,,,"Thème actuel",,"noun","preferred",,,,"Aktuelles Thema",,"noun","preferred",,,,"Tema atual",,"noun","preferred",,,,"Tema actual",,"noun","preferred",,,,"Yes"
"Current Uptime",,"noun","preferred",,,,"Temps de fonctionnement actuel",,"noun","preferred",,,,"Aktuelle Laufzeit",,"noun","preferred",,,,"Tempo de Atual Atividade",,"noun","preferred",,,,"Tiempo de actividad actual",,"noun","preferred",,,,"Yes"
"Custom",,"noun","preferred",,,,"Personnalisé",,"noun","preferred",,,,"Benutzerdefiniert",,"noun","preferred",,,,"Personalizado",,"noun","preferred",,,,"Personalizado",,"noun","preferred",,,,"Yes"
"Customize notification message templates",,"noun","preferred",,,,"Personnaliser les modèles de messages de notification",,"noun","preferred",,,,"Benachrichtigungsnachrichtenvorlagen anpassen",,"noun","preferred",,,,"Personalizar modelos de mensagens de notificação",,"noun","preferred",,,,"Personalizar plantillas de mensajes de notificación",,"noun","preferred",,,,"Yes"
"Dark",,"noun","preferred",,,,"Sombre",,"noun","preferred",,,,"Dunkel",,"noun","preferred",,,,"Escuro",,"noun","preferred",,,,"Oscuro",,"noun","preferred",,,,"Yes"
"Dashboard",,"noun","preferred",,,,"Tableau de bord",,"noun","preferred",,,,"Dashboard",,"noun","preferred",,,,"Painel",,"noun","preferred",,,,"Panel de control",,"noun","preferred",,,,"Yes"
"Database Backup",,"noun","preferred",,,,"Sauvegarde de la base de données",,"noun","preferred",,,,"Datenbanksicherung",,"noun","preferred",,,,"Backup do banco de dados",,"noun","preferred",,,,"Backup de base de datos",,"noun","preferred",,,,"Yes"
"Database cleaned",,"noun","preferred",,,,"Base de données nettoyée",,"noun","preferred",,,,"Datenbank bereinigt",,"noun","preferred",,,,"Banco de dados limpo",,"noun","preferred",,,,"Base de datos limpiada",,"noun","preferred",,,,"Yes"
"Database Cleanup Failed",,"noun","preferred",,,,"Échec du nettoyage de la base de données",,"noun","preferred",,,,"Datenbankbereinigung fehlgeschlagen",,"noun","preferred",,,,"Falha na limpeza do banco de dados",,"noun","preferred",,,,"Error en la limpieza de base de datos",,"noun","preferred",,,,"Yes"
"Database Cleanup Period",,"noun","preferred",,,,"Période de nettoyage de la base de données",,"noun","preferred",,,,"Datenbankbereinigungszeitraum",,"noun","preferred",,,,"Período de limpeza do banco de dados",,"noun","preferred",,,,"Período de limpieza de base de datos",,"noun","preferred",,,,"Yes"
"Database Error",,"noun","preferred",,,,"Erreur de base de données",,"noun","preferred",,,,"Datenbankfehler",,"noun","preferred",,,,"Erro de banco de dados",,"noun","preferred",,,,"Error de base de datos",,"noun","preferred",,,,"Yes"
"Database File (.db)",,"noun","preferred",,,,"Fichier de base de données (.db)",,"noun","preferred",,,,"Datenbankdatei (.db)",,"noun","preferred",,,,"Arquivo de banco de dados (.db)",,"noun","preferred",,,,"Archivo de base de datos (.db)",,"noun","preferred",,,,"Yes"
"Database Maintenance",,"noun","preferred",,,,"Maintenance de la base de données",,"noun","preferred",,,,"Datenbankwartung",,"noun","preferred",,,,"Manutenção do banco de dados",,"noun","preferred",,,,"Mantenimiento de base de datos",,"noun","preferred",,,,"Yes"
"Database Restore",,"noun","preferred",,,,"Restauration de la base de données",,"noun","preferred",,,,"Datenbankwiederherstellung",,"noun","preferred",,,,"Restauração do banco de dados",,"noun","preferred",,,,"Restauración de base de datos",,"noun","preferred",,,,"Yes"
"Database restored",,"noun","preferred",,,,"Base de données restaurée",,"noun","preferred",,,,"Datenbank wiederhergestellt",,"noun","preferred",,,,"Banco de dados restaurado",,"noun","preferred",,,,"Base de datos restaurada",,"noun","preferred",,,,"Yes"
"Database restored successfully",,"noun","preferred",,,,"Base de données restaurée avec succès",,"noun","preferred",,,,"Datenbank erfolgreich wiederhergestellt",,"noun","preferred",,,,"Banco de dados restaurado com sucesso",,"noun","preferred",,,,"Base de datos restaurada exitosamente",,"noun","preferred",,,,"Yes"
"Date",,"noun","preferred",,,,"Date",,"noun","preferred",,,,"Datum",,"noun","preferred",,,,"Data",,"noun","preferred",,,,"Fecha",,"noun","preferred",,,,"Yes"
"Date Format",,"noun","preferred",,,,"Format de date",,"noun","preferred",,,,"Datumsformat",,"noun","preferred",,,,"Formato de data",,"noun","preferred",,,,"Formato de fecha",,"noun","preferred",,,,"Yes"
"Date/time of the backup",,"noun","preferred",,,,"Date/heure de la sauvegarde",,"noun","preferred",,,,"Datum/Zeit der Sicherung",,"noun","preferred",,,,"Data/hora do backup",,"noun","preferred",,,,"Fecha/hora del backup",,"noun","preferred",,,,"Yes"
"Date/time of the last backup",,"noun","preferred",,,,"Date/heure de la dernière sauvegarde",,"noun","preferred",,,,"Datum/Zeit der letzten Sicherung",,"noun","preferred",,,,"Data/hora do último backup",,"noun","preferred",,,,"Fecha/hora del último backup",,"noun","preferred",,,,"Yes"
"Date/time when the backup was expected",,"noun","preferred",,,,"Date/heure à laquelle la sauvegarde était attendue",,"noun","preferred",,,,"Datum/Zeit, zu der die Sicherung erwartet wurde",,"noun","preferred",,,,"Data/hora em que o backup era esperado",,"noun","preferred",,,,"Fecha/hora en que se esperaba el backup",,"noun","preferred",,,,"Yes"
"Day(s)",,"noun","preferred",,,,"Jour(s)",,"noun","preferred",,,,"Tag(e)",,"noun","preferred",,,,"Dia(s)",,"noun","preferred",,,,"Día(s)",,"noun","preferred",,,,"Yes"
"Days Expired",,"noun","preferred",,,,"Jours expirés",,"noun","preferred",,,,"Tage abgelaufen",,"noun","preferred",,,,"Dias Expirados",,"noun","preferred",,,,"Días expirados",,"noun","preferred",,,,"Yes"
"Default",,"noun","preferred",,,,"Par défaut",,"noun","preferred",,,,"Standard",,"noun","preferred",,,,"Padrão",,"noun","preferred",,,,"Por defecto",,"noun","preferred",,,,"Yes"
"Default Language",,"noun","preferred",,,,"Langue par défaut",,"noun","preferred",,,,"Standardsprache",,"noun","preferred",,,,"Idioma padrão",,"noun","preferred",,,,"Idioma predeterminado",,"noun","preferred",,,,"Yes"
"Default login credentials are",,"noun","preferred",,,,"Les identifiants de connexion par défaut sont",,"noun","preferred",,,,"Standard-Anmeldedaten sind",,"noun","preferred",,,,"As credenciais de login padrão são",,"noun","preferred",,,,"Las credenciales de inicio de sesión predeterminadas son",,"noun","preferred",,,,"Yes"
"Delete",,"verb","preferred",,,,"Supprimer",,"verb","preferred",,,,"Löschen",,"verb","preferred",,,,"Excluir",,"verb","preferred",,,,"Eliminar",,"verb","preferred",,,,"Yes"
"Delete all data",,"noun","preferred",,,,"Supprimer toutes les données",,"noun","preferred",,,,"Alle Daten löschen",,"noun","preferred",,,,"Excluir todos os dados",,"noun","preferred",,,,"Eliminar todos los datos",,"noun","preferred",,,,"Yes"
"Delete Backup Job",,"noun","preferred",,,,"Supprimer le travail de sauvegarde",,"noun","preferred",,,,"Sicherungsauftrag löschen",,"noun","preferred",,,,"Excluir trabalho de backup",,"noun","preferred",,,,"Eliminar trabajo de backup",,"noun","preferred",,,,"Yes"
"Delete Backup Job?",,"noun","preferred",,,,"Supprimer le travail de sauvegarde?",,"noun","preferred",,,,"Sicherungsauftrag löschen?",,"noun","preferred",,,,"Excluir trabalho de backup?",,"noun","preferred",,,,"¿Eliminar trabajo de backup?",,"noun","preferred",,,,"Yes"
"Delete Failed",,"noun","preferred",,,,"Échec de la suppression",,"noun","preferred",,,,"Löschen fehlgeschlagen",,"noun","preferred",,,,"Falha ao excluir",,"noun","preferred",,,,"Error al eliminar",,"noun","preferred",,,,"Yes"
"Delete Password",,"noun","preferred",,,,"Supprimer le mot de passe",,"noun","preferred",,,,"Passwort löschen",,"noun","preferred",,,,"Excluir senha",,"noun","preferred",,,,"Eliminar contraseña",,"noun","preferred",,,,"Yes"
"Delete Server",,"noun","preferred",,,,"Supprimer le serveur",,"noun","preferred",,,,"Server löschen",,"noun","preferred",,,,"Excluir servidor",,"noun","preferred",,,,"Eliminar servidor",,"noun","preferred",,,,"Yes"
"Delete Server Data",,"noun","preferred",,,,"Supprimer les données du serveur",,"noun","preferred",,,,"Serverdaten löschen",,"noun","preferred",,,,"Excluir dados do servidor",,"noun","preferred",,,,"Eliminar datos del servidor",,"noun","preferred",,,,"Yes"
"Delete Server Data?",,"noun","preferred",,,,"Supprimer les données du serveur?",,"noun","preferred",,,,"Serverdaten löschen?",,"noun","preferred",,,,"Excluir dados do servidor?",,"noun","preferred",,,,"¿Eliminar datos del servidor?",,"noun","preferred",,,,"Yes"
