"en","fr","de","pt-BR","es"
"Conflict with existing data","Conflit avec les données existantes","Konflikt mit vorhandenen Daten","Conflito com dados existentes","Conflicto con datos existentes"
"Connected","Connecté","Verbunden","Conectado","Conectado"
"Connection Attempts","Tentatives de connexion","Verbindungsversuche","Tentativas de Conexão","Intentos de conexión"
"Connection Failed","Connexion échouée","Verbindung fehlgeschlagen","Falha na conexão","Conexión fallida"
"Connection Lost","Connexion perdue","Verbindung verloren","Conexão perdida","Conexión perdida"
"Connection Refused","Connexion refusée","Verbindung abgelehnt","Conexão recusada","Conexión rechazada"
"Connection successful","Connexion réussie","Verbindung erfolgreich","Conexão bem-sucedida","Conexión exitosa"
"Connection test failed","Test de connexion échoué","Verbindungstest fehlgeschlagen","Teste de conexão falhou","Prueba de conexión fallida"
"Connection test successful","Test de connexion réussi","Verbindungstest erfolgreich","Teste de conexão bem-sucedido","Prueba de conexión exitosa"
"Connection Tests Complete","Tests de connexion terminés","Verbindungstests abgeschlossen","Testes de conexão concluídos","Pruebas de conexión completadas"
"Connection Timeout","Délai de connexion dépassé","Verbindungs-Timeout","Tempo de conexão esgotado","Tiempo de conexión agotado"
"Connection Type","Type de connexion","Verbindungstyp","Tipo de conexão","Tipo de conexión"
"Contains at least one lowercase letter (a-z)","Contient au moins une lettre minuscule (a-z)","Enthält mindestens einen Kleinbuchstaben (a-z)","Contém pelo menos uma letra minúscula (a-z)","Contiene al menos una letra minúscula (a-z)"
"Contains at least one number (0-9)","Contient au moins un chiffre (0-9)","Enthält mindestens eine Zahl (0-9)","Contém pelo menos um número (0-9)","Contiene al menos un número (0-9)"
"Contains at least one uppercase letter (A-Z)","Contient au moins une lettre majuscule (A-Z)","Enthält mindestens einen Großbuchstaben (A-Z)","Contém pelo menos uma letra maiúscula (A-Z)","Contiene al menos una letra mayúscula (A-Z)"
"Continue","Continuer","Fortfahren","Continuar","Continuar"
"Copied successfully","Copié avec succès","Erfolgreich kopiert","Copiado com sucesso","Copiado exitosamente"
"Copy","Copier","Kopieren","Copiar","Copiar"
"Copy password","Copier le mot de passe","Passwort kopieren","Copiar senha","Copiar contraseña"
"Create a new account to get started","Créez un nouveau compte pour commencer","Erstellen Sie ein neues Konto, um zu beginnen","Crie uma nova conta para começar","Cree una nueva cuenta para comenzar"
"Create New User","Créer un nouvel utilisateur","Neuen Benutzer erstellen","Criar novo usuário","Crear nuevo usuario"
"Create User","Créer l'utilisateur","Benutzer erstellen","Criar usuário","Crear usuario"
"Created","Créé","Erstellt","Criado","Creado"
"Created successfully","Créé avec succès","Erfolgreich erstellt","Criado com sucesso","Creado exitosamente"
"Critical","Critique","Kritisch","Crítico","Crítico"
"CSV","CSV","CSV","CSV","CSV"
"CSV file downloaded successfully","Fichier CSV téléchargé avec succès","CSV-Datei erfolgreich heruntergeladen","Arquivo CSV baixado com sucesso","Archivo CSV descargado exitosamente"
"CSV Generated At","CSV généré le","CSV generiert am","CSV gerado em","CSV generado en"
"Currency","Devise","Währung","Moeda","Moneda"
"Current","Actuel","Aktuell","Atual","Actual"
"Current Password","Mot de passe actuel","Aktuelles Passwort","Senha atual","Contraseña actual"
"Current password is incorrect","Le mot de passe actuel est incorrect","Aktuelles Passwort ist falsch","A senha atual está incorreta","La contraseña actual es incorrecta"
"Current theme","Thème actuel","Aktuelles Thema","Tema atual","Tema actual"
"Current Uptime","Temps de fonctionnement actuel","Aktuelle Laufzeit","Tempo de Atual Atividade","Tiempo de actividad actual"
"Custom","Personnalisé","Benutzerdefiniert","Personalizado","Personalizado"
"Custom additional destinations configured","Destinations supplémentaires personnalisées configurées","Benutzerdefinierte zusätzliche Ziele konfiguriert","Destinos adicionais personalizados configurados","Destinos adicionales personalizados configurados"
"Customize notification message templates","Personnaliser les modèles de messages de notification","Benachrichtigungsnachrichtenvorlagen anpassen","Personalizar modelos de mensagens de notificação","Personalizar plantillas de mensajes de notificación"
"Dark","Sombre","Dunkel","Escuro","Oscuro"
"Dashboard","Tableau de bord","Dashboard","Painel","Panel de control"
"Database Backup","Sauvegarde de la base de données","Datenbanksicherung","Backup do banco de dados","Backup de base de datos"
"Database cleaned","Base de données nettoyée","Datenbank bereinigt","Banco de dados limpo","Base de datos limpiada"
"Database Cleanup Failed","Échec du nettoyage de la base de données","Datenbankbereinigung fehlgeschlagen","Falha na limpeza do banco de dados","Error en la limpieza de base de datos"
"Database Cleanup Period","Période de nettoyage de la base de données","Datenbankbereinigungszeitraum","Período de limpeza do banco de dados","Período de limpieza de base de datos"
"Database Error","Erreur de base de données","Datenbankfehler","Erro de banco de dados","Error de base de datos"
"Database File (.db)","Fichier de base de données (.db)","Datenbankdatei (.db)","Arquivo de banco de dados (.db)","Archivo de base de datos (.db)"
"Database Maintenance","Maintenance de la base de données","Datenbankwartung","Manutenção do banco de dados","Mantenimiento de base de datos"
"Database Restore","Restauration de la base de données","Datenbankwiederherstellung","Restauração do banco de dados","Restauración de base de datos"
"Database restored","Base de données restaurée","Datenbank wiederhergestellt","Banco de dados restaurado","Base de datos restaurada"
"Database restored successfully","Base de données restaurée avec succès","Datenbank erfolgreich wiederhergestellt","Banco de dados restaurado com sucesso","Base de datos restaurada exitosamente"
"Date","Date","Datum","Data","Fecha"
"Date Format","Format de date","Datumsformat","Formato de data","Formato de fecha"
"Date/time of the backup","Date/heure de la sauvegarde","Datum/Zeit der Sicherung","Data/hora do backup","Fecha/hora del backup"
"Date/time of the last backup","Date/heure de la dernière sauvegarde","Datum/Zeit der letzten Sicherung","Data/hora do último backup","Fecha/hora del último backup"
"Date/time when the backup was expected","Date/heure à laquelle la sauvegarde était attendue","Datum/Zeit, zu der die Sicherung erwartet wurde","Data/hora em que o backup era esperado","Fecha/hora en que se esperaba el backup"
"Day(s)","Jour(s)","Tag(e)","Dia(s)","Día(s)"
"Days Expired","Jours expirés","Tage abgelaufen","Dias Expirados","Días expirados"
"Default","Par défaut","Standard","Padrão","Por defecto"
"Default additional destinations configured","Destinations supplémentaires par défaut configurées","Standard-Zusatzziele konfiguriert","Destinos adicionais padrão configurados","Destinos adicionales predeterminados configurados"
"Default Additional Destinations for this Server","Destinations supplémentaires par défaut pour ce serveur","Standard-Zusatzziele für diesen Server","Destinos adicionais padrão para este servidor","Destinos adicionales predeterminados para este servidor"
"Default Additional Emails","E-mails supplémentaires par défaut","Standard-Zusatz-E-Mails","E-mails adicionais padrão","Correos adicionales predeterminados"
"Default Additional NTFY Topic","Sujet NTFY supplémentaire par défaut","Standard-Zusatz-NTFY-Thema","Tópico NTFY adicional padrão","Tema NTFY adicional predeterminado"
"Default Language","Langue par défaut","Standardsprache","Idioma padrão","Idioma predeterminado"
"Default login credentials are","Les identifiants de connexion par défaut sont","Standard-Anmeldedaten sind","As credenciais de login padrão são","Las credenciales de inicio de sesión predeterminadas son"
"Default notification events for additional destinations","Événements de notification par défaut pour les destinations supplémentaires","Standard-Benachrichtigungsereignisse für zusätzliche Ziele","Eventos de notificação padrão para destinos adicionais","Eventos de notificación predeterminados para destinos adicionales"
"Delete","Supprimer","Löschen","Excluir","Eliminar"
"Delete all data","Supprimer toutes les données","Alle Daten löschen","Excluir todos os dados","Eliminar todos los datos"
"Delete Backup Job","Supprimer le travail de sauvegarde","Sicherungsauftrag löschen","Excluir trabalho de backup","Eliminar trabajo de backup"
"Delete Backup Job?","Supprimer le travail de sauvegarde?","Sicherungsauftrag löschen?","Excluir trabalho de backup?","¿Eliminar trabajo de backup?"
"Delete Failed","Échec de la suppression","Löschen fehlgeschlagen","Falha ao excluir","Error al eliminar"
"Delete Password","Supprimer le mot de passe","Passwort löschen","Excluir senha","Eliminar contraseña"
"Delete Server","Supprimer le serveur","Server löschen","Excluir servidor","Eliminar servidor"
"Delete Server Data","Supprimer les données du serveur","Serverdaten löschen","Excluir dados do servidor","Eliminar datos del servidor"
"Delete Server Data?","Supprimer les données du serveur?","Serverdaten löschen?","Excluir dados do servidor?","¿Eliminar datos del servidor?"
"Delete Settings","Supprimer les paramètres","Einstellungen löschen","Excluir configurações","Eliminar configuración"
"Delete SMTP Settings","Supprimer les paramètres SMTP","SMTP-Einstellungen löschen","Excluir configurações SMTP","Eliminar configuración SMTP"
"Delete User","Supprimer l'utilisateur","Benutzer löschen","Excluir usuário","Eliminar usuario"
"Deleted successfully","Supprimé avec succès","Erfolgreich gelöscht","Excluído com sucesso","Eliminado exitosamente"
"Description","Description","Beschreibung","Descrição","Descripción"
"Deselect All","Tout désélectionner","Alle abwählen","Deselecionar todos","Deseleccionar todo"
"Details","Détails","Details","Detalhes","Detalles"
"Details for","Détails pour","Details für","Detalhes para","Detalles para"
"Details for backup","Détails pour sauvegarde","Details für Sicherung","Detalhes para backup","Detalles para backup"
"Direct SSL/TLS","SSL/TLS direct","Direktes SSL/TLS","SSL/TLS direto","SSL/TLS directo"
"Disable","Désactiver","Deaktivieren","Desativar","Desactivar"
"Disable auto-refresh (Right-click for Display Settings)","Désactiver l'actualisation automatique (Clic droit pour les paramètres d'affichage)","Automatische Aktualisierung deaktivieren (Rechtsklick für Anzeigeeinstellungen)","Desativar atualização automática (Clique com o botão direito para Configurações de exibição)","Desactivar actualización automática (Clic derecho para Configuración de visualización)"
"Disabled","Désactivé","Deaktiviert","Desabilitado","Deshabilitado"
"Disk Space Low","Espace disque faible","Wenig Speicherplatz","Pouco espaço em disco","Poco espacio en disco"
"Disk Usage","Utilisation du disque","Festplattennutzung","Uso do Disco","Uso del disco"
"Dismiss","Ignorer","Verwerfen","Descartar","Descartar"
"Dismiss All","Ignorer tout","Alle verwerfen","Descartar todos","Descartar todo"
"Display Settings","Paramètres d'affichage","Anzeigeeinstellungen","Configurações de exibição","Configuración de pantalla"
"documentation.",".","-Dokumentation.",".","."
"Download","Télécharger","Herunterladen","Baixar","Descargar"
"Download Backup","Télécharger la sauvegarde","Sicherung herunterladen","Baixar backup","Descargar backup"
"Download backup monitoring data as CSV","Télécharger les données de surveillance des sauvegardes au format CSV","Sicherungs-Überwachungsdaten als CSV herunterladen","Baixar dados de monitoramento de backups como CSV","Descargar datos de monitoreo de backups como CSV"
"Download collected JSON data","Télécharger les données JSON collectées","Gesammelte JSON-Daten herunterladen","Baixar dados JSON coletados","Descargar datos JSON recopilados"
"Download CSV","Télécharger CSV","CSV herunterladen","Baixar CSV","Descargar CSV"
"Download failed","Échec du téléchargement","Download fehlgeschlagen","Download falhou","Descarga fallida"
"Download Log","Télécharger le journal","Log herunterladen","Baixar log","Descargar log"
"Downloaded","téléchargé","heruntergeladen","baixado","descargado"
"Downloaded successfully","Téléchargé avec succès","Erfolgreich heruntergeladen","Baixado com sucesso","Descargado exitosamente"
"Duplicate Servers","Serveurs en double","Doppelte Server","Servidores duplicados","Servidores duplicados"
"Duplicate value","Valeur en double","Doppelter Wert","Valor duplicado","Valor duplicado"
"Duplicati configuration","Configuration Duplicati","Duplicati-Konfiguration","Configuração do Duplicati","Configuración de Duplicati"
"Duplicati server passwords (in Server Settings)","Mots de passe du serveur Duplicati (dans les paramètres du serveur)","Duplicati-Server-Passwörter (in Server-Einstellungen)","Senhas do servidor Duplicati (em Configurações do servidor)","Contraseñas del servidor Duplicati (en Configuración del servidor)"
"duplistatus","duplistatus","duplistatus","duplistatus","duplistatus"
"duplistatus-my-notification-topic","duplistatus-mon-sujet-de-notification","duplistatus-mein-benachrichtigungs-thema","duplistatus-meu-topico-de-notificacao","duplistatus-mi-tema-de-notificacion"
"Duration","Durée","Dauer","Duração","Duración"
"Edit","Modifier","Bearbeiten","Editar","Editar"
"Edit Server","Modifier le serveur","Server bearbeiten","Editar servidor","Editar servidor"
"Edit User","Modifier l'utilisateur","Benutzer bearbeiten","Editar usuário","Editar usuario"
"Email","E-mail","E-Mail","E-mail","Correo electrónico"
"Email (disabled)","E-mail (désactivé)","E-Mail (deaktiviert)","E-mail (desativado)","Email (desactivado)"
"Email Address","Adresse e-mail","E-Mail-Adresse","Endereço de E-mail","Dirección de correo electrónico"
"Email address not found","Adresse e-mail introuvable","E-Mail-Adresse nicht gefunden","Endereço de e-mail não encontrado","Dirección de correo electrónico no encontrada"
"Email Configuration","Configuration e-mail","E-Mail-Konfiguration","Configuração de e-mail","Configuración de correo electrónico"
"Email Notifications","Notifications par e-mail","E-Mail-Benachrichtigungen","Notificações por e-mail","Notificaciones por correo electrónico"
"Email Notifications (disabled)","Notifications par e-mail (désactivées)","E-Mail-Benachrichtigungen (deaktiviert)","Notificações por e-mail (desativadas)","Notificaciones por correo electrónico (desactivadas)"
"Email notifications are disabled.","Les notifications par e-mail sont désactivées.","E-Mail-Benachrichtigungen sind deaktiviert.","As notificações por e-mail estão desativadas.","Las notificaciones por correo electrónico están desactivadas."
"Email password deleted successfully","Mot de passe e-mail supprimé avec succès","E-Mail-Passwort erfolgreich gelöscht","Senha de e-mail excluída com sucesso","Contraseña de correo electrónico eliminada exitosamente"
"Email password updated successfully","Mot de passe e-mail mis à jour avec succès","E-Mail-Passwort erfolgreich aktualisiert","Senha de e-mail atualizada com sucesso","Contraseña de correo electrónico actualizada exitosamente"
"Email Settings","Paramètres e-mail","E-Mail-Einstellungen","Configurações de e-mail","Configuración de correo electrónico"
"Email verified successfully","E-mail vérifié avec succès","E-Mail erfolgreich verifiziert","E-mail verificado com sucesso","Correo electrónico verificado exitosamente"
"Enable","Activer","Aktivieren","Ativar","Activar"
"Enable auto-refresh (Right-click for Display Settings)","Activer l'actualisation automatique (Clic droit pour les paramètres d'affichage)","Automatische Aktualisierung aktivieren (Rechtsklick für Anzeigeeinstellungen)","Ativar atualização automática (Clique com o botão direito para Configurações de exibição)","Activar actualización automática (Clic derecho para Configuración de visualización)"
"Enable auto-scroll","Activer le défilement automatique","Automatisches Scrollen aktivieren","Habilitar rolagem automática","Habilitar desplazamiento automático"
"Enable compression for backups","Activer la compression pour les sauvegardes","Kompression für Sicherungen aktivieren","Habilitar compactação para backups","Habilitar compresión para backups"
"Enable Email notifications","Activer les notifications par e-mail","E-Mail-Benachrichtigungen aktivieren","Ativar notificações por e-mail","Activar notificaciones por correo electrónico"
"Enable encryption for backups","Activer le chiffrement pour les sauvegardes","Verschlüsselung für Sicherungen aktivieren","Habilitar criptografia para backups","Habilitar cifrado para backups"
"Enable NTFY notifications","Activer les notifications NTFY","NTFY-Benachrichtigungen aktivieren","Ativar notificações NTFY","Activar notificaciones NTFY"
"Enable or disable this server","Activer ou désactiver ce serveur","Diesen Server aktivieren oder deaktivieren","Habilitar ou desabilitar este servidor","Habilitar o deshabilitar este servidor"
"Enabled","Activé","Aktiviert","Habilitado","Habilitado"
"Encryption","Chiffrement","Verschlüsselung","Criptografia","Cifrado"
"Encryption method for SMTP","Méthode de chiffrement pour SMTP","Verschlüsselungsmethode für SMTP","Método de criptografia para SMTP","Método de cifrado para SMTP"
"End Date","Date de fin","Enddatum","Data de término","Fecha de fin"
"End Time","Heure de fin","Endzeit","Hora de término","Hora de fin"
"English","Anglais","Englisch","Inglês","Inglés"
"Enter 6-digit code","Entrez le code à 6 chiffres","6-stelligen Code eingeben","Digite código de 6 dígitos","Ingrese código de 6 dígitos"
"Enter a new password for your account","Entrez un nouveau mot de passe pour votre compte","Geben Sie ein neues Passwort für Ihr Konto ein","Digite uma nova senha para sua conta","Ingrese una nueva contraseña para su cuenta"
"Enter backup code","Entrez le code de sauvegarde","Backup-Code eingeben","Digite código de backup","Ingrese código de backup"
"Enter Duplicati password","Entrez le mot de passe Duplicati","Duplicati-Passwort eingeben","Digite a senha do Duplicati","Ingrese la contraseña de Duplicati"
"Enter new password","Entrez le nouveau mot de passe","Neues Passwort eingeben","Digite a nova senha","Ingrese la nueva contraseña"
"Enter notification title","Entrez le titre de la notification","Benachrichtigungstitel eingeben","Digite o título da notificação","Ingrese el título de la notificación"
"Enter password","Entrer le mot de passe","Passwort eingeben","Digite a senha","Ingresar contraseña"
"Enter the verification code from your authenticator app","Entrez le code de vérification de votre application d'authentification","Geben Sie den Bestätigungscode von Ihrer Authenticator-App ein","Digite o código de verificação do seu aplicativo autenticador","Ingrese el código de verificación de su aplicación autenticadora"
"Enter username","Entrer le nom d'utilisateur","Benutzername eingeben","Digite o nome de usuário","Ingresar nombre de usuario"
"Enter your credentials to access your account","Entrez vos identifiants pour accéder à votre compte","Geben Sie Ihre Anmeldedaten ein, um auf Ihr Konto zuzugreifen","Digite suas credenciais para acessar sua conta","Ingrese sus credenciales para acceder a su cuenta"
"Enter your current password","Entrez votre mot de passe actuel","Geben Sie Ihr aktuelles Passwort ein","Digite sua senha atual","Ingrese su contraseña actual"
"Enter your email address","Entrez votre adresse e-mail","Geben Sie Ihre E-Mail-Adresse ein","Digite seu endereço de e-mail","Ingrese su dirección de correo electrónico"
"Enter your new password","Entrez votre nouveau mot de passe","Geben Sie Ihr neues Passwort ein","Digite sua nova senha","Ingrese su nueva contraseña"
"Enter your NTFY access token","Entrez votre jeton d'accès NTFY","Geben Sie Ihr NTFY-Zugriffstoken ein","Digite seu token de acesso NTFY","Ingrese su token de acceso NTFY"
"Enter your password","Entrez votre mot de passe","Geben Sie Ihr Passwort ein","Digite sua senha","Ingrese su contraseña"
"Enter your username","Entrez votre nom d'utilisateur","Geben Sie Ihren Benutzernamen ein","Digite seu nome de usuário","Ingrese su nombre de usuario"
"Error","Erreur","Fehler","Erro","Error"
"Error Details","Détails de l'erreur","Fehlerdetails","Detalhes do Erro","Detalles del error"
"Error loading chart data","Erreur lors du chargement des données du graphique","Fehler beim Laden der Diagrammdaten","Erro ao carregar dados do gráfico","Error al cargar los datos del gráfico"
"Error Message","Message d'erreur","Fehlermeldung","Mensagem de erro","Mensaje de error"
"Errors","Erreurs","Fehler","Erros","Errores"
"Every day","Chaque jour","Jeden Tag","Todos os dias","Todos los días"
"Every month","Chaque mois","Jeden Monat","Todo mês","Cada mes"
"Every week","Chaque semaine","Jede Woche","Toda semana","Cada semana"
"Exclude Pattern","Motif d'exclusion","Ausschlussmuster","Padrão de exclusão","Patrón de exclusión"
"Expand sidebar","Développer la barre latérale","Seitenleiste ausklappen","Expandir barra lateral","Expandir barra lateral"
"Expected","Attendu","Erwartet","Esperado","Esperado"
"Expected backup","Sauvegarde attendue","Erwartete Sicherung","Backup esperado","Backup esperado"
"Expected Backup Interval","Intervalle de sauvegarde attendu","Erwartetes Sicherungsintervall","Intervalo de backup esperado","Intervalo de backup esperado"
"Expected Interval","Intervalle attendu","Erwartetes Intervall","Intervalo esperado","Intervalo esperado"
"Expiration Date","Date d'expiration","Ablaufdatum","Data de Expiração","Fecha de vencimiento"
"Expired Certificate","Certificat expiré","Zertifikat abgelaufen","Certificado expirado","Certificado expirado"
"Export","Exporter","Exportieren","Exportar","Exportar"
"Exported successfully","Exporté avec succès","Erfolgreich exportiert","Exportado com sucesso","Exportado exitosamente"
"Failed","Échec","Fehlgeschlagen","Falha","Fallido"
"Failed Backups","Sauvegardes échouées","Fehlgeschlagene Sicherungen","Backups com falha","Backups fallidos"
"Failed to change password","Échec du changement de mot de passe","Passwortänderung fehlgeschlagen","Falha ao alterar senha","Falló cambiar contraseña"
"Failed to copy logs to clipboard","Échec de la copie des journaux dans le presse-papiers","Fehler beim Kopieren der Protokolle in die Zwischenablage","Falha ao copiar logs para a área de transferência","Error al copiar los logs al portapapeles"
"Failed to create account","Échec de la création du compte","Kontoerstellung fehlgeschlagen","Falha ao criar conta","Falló crear cuenta"
"Failed to create user","Échec de la création de l'utilisateur","Fehler beim Erstellen des Benutzers","Falha ao criar usuário","Error al crear usuario"
"Failed to delete configuration","Échec de la suppression de la configuration","Fehler beim Löschen der Konfiguration","Falha ao excluir configuração","Error al eliminar la configuración"
"Failed to delete password","Échec de la suppression du mot de passe","Fehler beim Löschen des Passworts","Falha ao excluir senha","Error al eliminar la contraseña"
"Failed to delete user","Échec de la suppression de l'utilisateur","Fehler beim Löschen des Benutzers","Falha ao excluir usuário","Error al eliminar usuario"
"Failed to download audit logs","Échec du téléchargement des journaux d'audit","Fehler beim Herunterladen der Prüfprotokolle","Falha ao baixar logs de auditoria","Error al descargar logs de auditoría"
"Failed to download JSON file","Échec du téléchargement du fichier JSON","Fehler beim Herunterladen der JSON-Datei","Falha ao baixar arquivo JSON","Error al descargar el archivo JSON"
"Failed to export logs","Échec de l'exportation des journaux","Fehler beim Exportieren der Protokolle","Falha ao exportar logs","Error al exportar los logs"
"Failed to generate CSV file","Échec de la génération du fichier CSV","Fehler beim Generieren der CSV-Datei","Falha ao gerar arquivo CSV","Error al generar archivo CSV"
"Failed to initialize password change","Échec de l'initialisation du changement de mot de passe","Fehler beim Initialisieren der Passwortänderung","Falha ao inicializar alteração de senha","Error al inicializar el cambio de contraseña"
"Failed to load audit logs","Échec du chargement des journaux d'audit","Fehler beim Laden der Audit-Logs","Falha ao carregar logs de auditoria","Error al cargar logs de auditoría"
"Failed to load logs","Échec du chargement des journaux","Fehler beim Laden der Protokolle","Falha ao carregar logs","Error al cargar los logs"
"Failed to load more audit logs","Échec du chargement de plus de journaux d'audit","Fehler beim Laden weiterer Prüfprotokolle","Falha ao carregar mais logs de auditoria","Error al cargar más logs de auditoría"
"Failed to load NTFY configuration","Échec du chargement de la configuration NTFY","Fehler beim Laden der NTFY-Konfiguration","Falha ao carregar configuração NTFY","Error al cargar la configuración NTFY"
"Failed to load retention configuration","Échec du chargement de la configuration de rétention","Fehler beim Laden der Aufbewahrungskonfiguration","Falha ao carregar a configuração de retenção","Error al cargar la configuración de retención"
"Failed to load server connections","Échec du chargement des connexions serveur","Fehler beim Laden der Serververbindungen","Falha ao carregar conexões do servidor","Error al cargar las conexiones del servidor"
"Failed to load users","Échec du chargement des utilisateurs","Fehler beim Laden der Benutzer","Falha ao carregar usuários","Error al cargar usuarios"
"Failed to logout","Échec de la déconnexion","Abmelden fehlgeschlagen","Falha ao sair","Falló cerrar sesión"
"Failed to open old UI","Échec de l'ouverture de l'ancienne UI","Fehler beim Öffnen der alten UI","Falha ao abrir UI antiga","Error al abrir la UI antigua"
"Failed to open server URL","Échec de l'ouverture de l'URL du serveur","Fehler beim Öffnen der Server-URL","Falha ao abrir URL do servidor","Error al abrir la URL del servidor"
"Failed to reset all templates","Échec de la réinitialisation de tous les modèles","Fehler beim Zurücksetzen aller Vorlagen","Falha ao redefinir todos os modelos","Error al restablecer todas las plantillas"
"Failed to reset backup notifications","Échec de la réinitialisation des notifications de sauvegardes","Fehler beim Zurücksetzen der Backup-Benachrichtigungen","Falha ao redefinir notificações de backups","Error al restablecer las notificaciones de backups"
"Failed to reset password","Échec de la réinitialisation du mot de passe","Passwort zurücksetzen fehlgeschlagen","Falha ao redefinir senha","Falló restablecer contraseña"
"Failed to reset template","Échec de la réinitialisation du modèle","Fehler beim Zurücksetzen der Vorlage","Falha ao redefinir o modelo","Error al restablecer la plantilla"
"Failed to run backup check","Échec de la vérification des sauvegardes","Fehler beim Ausführen der Backup-Prüfung","Falha ao executar verificação de backups","Error al ejecutar la verificación de backups"
"Failed to save backup monitoring settings","Échec de l'enregistrement des paramètres de surveillance des sauvegardes","Fehler beim Speichern der Backup-Überwachungseinstellungen","Falha ao salvar configurações de monitoramento de backups","Error al guardar la configuración de monitoreo de backups"
"Failed to save configuration","Échec de l'enregistrement de la configuration","Fehler beim Speichern der Konfiguration","Falha ao salvar configuração","Error al guardar la configuración"
"Failed to save retention configuration","Échec de l'enregistrement de la configuration de rétention","Fehler beim Speichern der Aufbewahrungskonfiguration","Falha ao salvar a configuração de retenção","Error al guardar la configuración de retención"
"Failed to save server details","Échec de l'enregistrement des détails du serveur","Fehler beim Speichern der Server-Details","Falha ao salvar detalhes do servidor","Error al guardar detalles del servidor"
"Failed to save settings","Échec de l'enregistrement des paramètres","Einstellungen konnten nicht gespeichert werden","Falha ao salvar configurações","Falló guardar configuración"
"Failed to save template settings","Échec de l'enregistrement des paramètres du modèle","Fehler beim Speichern der Vorlageneinstellungen","Falha ao salvar configurações do modelo","Error al guardar la configuración de plantilla"
"Failed to send notification","Échec de l'envoi de la notification","Benachrichtigung konnte nicht gesendet werden","Falha ao enviar notificação","Falló enviar notificación"
"Failed to send reset link","Échec de l'envoi du lien de réinitialisation","Reset-Link konnte nicht gesendet werden","Falha ao enviar link de redefinição","Falló enviar enlace de restablecimiento"
"Failed to send test email","Échec de l'envoi de l'e-mail de test","Fehler beim Senden der Test-E-Mail","Falha ao enviar e-mail de teste","Error al enviar correo de prueba"
"Failed to send test notification","Échec de l'envoi de la notification de test","Fehler beim Senden der Testbenachrichtigung","Falha ao enviar notificação de teste","Error al enviar notificación de prueba"
"Failed to test all connections","Échec du test de toutes les connexions","Fehler beim Testen aller Verbindungen","Falha ao testar todas as conexões","Error al probar todas las conexiones"
"Failed to update backup check interval","Échec de la mise à jour de l'intervalle de vérification des sauvegardes","Fehler beim Aktualisieren des Backup-Prüfintervalls","Falha ao atualizar intervalo de verificação de backups","Error al actualizar el intervalo de verificación de backups"
"Failed to update backup tolerance","Échec de la mise à jour de la tolérance de sauvegarde","Fehler beim Aktualisieren der Backup-Toleranz","Falha ao atualizar tolerância de backup","Error al actualizar la tolerancia de backup"
"Failed to update detail data","Échec de la mise à jour des données détaillées","Fehler beim Aktualisieren der Detaildaten","Falha ao atualizar dados detalhados","Error al actualizar los datos detallados"
"Failed to update notification frequency","Échec de la mise à jour de la fréquence des notifications","Fehler beim Aktualisieren der Benachrichtigungshäufigkeit","Falha ao atualizar frequência de notificações","Error al actualizar la frecuencia de notificaciones"
"Failed to update password","Échec de la mise à jour du mot de passe","Fehler beim Aktualisieren des Passworts","Falha ao atualizar senha","Error al actualizar la contraseña"
"Failed to update user","Échec de la mise à jour de l'utilisateur","Fehler beim Aktualisieren des Benutzers","Falha ao atualizar usuário","Error al actualizar usuario"
"Failure","Échec","Fehler","Falha","Fallo"
"Fatal","Fatal","Kritisch","Fatal","Fatal"
"Feature not implemented","Fonctionnalité non implémentée","Funktion nicht implementiert","Recurso não implementado","Función no implementada"
"File Count","Nombre de fichiers","Dateianzahl","Quantidade de arquivos","Cantidad de archivos"
"File patterns to exclude from backup","Motifs de fichiers à exclure de la sauvegarde","Dateimuster, die von der Sicherung ausgeschlossen werden sollen","Padrões de arquivos a serem excluídos do backup","Patrones de archivos a excluir del backup"
"File Size","Taille des fichiers","Dateigröße","Tamanho dos arquivos","Tamaño de archivos"
"File size too large","Taille de fichier trop grande","Dateigröße zu groß","Tamanho de arquivo muito grande","Tamaño de archivo demasiado grande"
"File Version","Version du fichier","Dateiversion","Versão do arquivo","Versión del archivo"
"Files","Fichiers","Dateien","Arquivos","Archivos"
"Files Count","Nombre de fichiers","Dateianzahl","Quantidade de Arquivos","Cantidad de archivos"
"Filter","Filtrer","Filtern","Filtrar","Filtrar"
"Filter by Backup","Filtrer par sauvegarde","Nach Sicherung filtern","Filtrar por backup","Filtrar por backup"
"Filter by Date","Filtrer par date","Nach Datum filtern","Filtrar por data","Filtrar por fecha"
"Filter by Server","Filtrer par serveur","Nach Server filtern","Filtrar por servidor","Filtrar por servidor"
"Filter by Server Name","Filtrer par nom de serveur","Nach Servername filtern","Filtrar por nome do servidor","Filtrar por nombre del servidor"
"Filter by Status","Filtrer par statut","Nach Status filtern","Filtrar por status","Filtrar por estado"
"Filter by text (case-insensitive)","Filtrer par texte (insensible à la casse)","Nach Text filtern (Groß-/Kleinschreibung ignorieren)","Filtrar por texto (sem distinção entre maiúsculas e minúsculas)","Filtrar por texto (sin distinción de mayúsculas y minúsculas)"
"Filter by Type","Filtrer par type","Nach Typ filtern","Filtrar por tipo","Filtrar por tipo"
"Filter by username","Filtrer par nom d'utilisateur","Nach Benutzername filtern","Filtrar por nome de usuário","Filtrar por nombre de usuario"
"Finish","Terminer","Beenden","Finalizar","Finalizar"
